2024-12-04 15:13:02,996 - INFO - 2020-01-31 00:00:00: Selected 179 stocks.
2024-12-04 15:13:02,997 - INFO - 2020-01-31 00:00:00: Portfolio Value = 9,160,743.97
2024-12-04 15:13:03,016 - INFO - Selected Stocks:
Ticker        Name    Close  PER  PBR  DIV      EPS
047040        대우건설   4350.0 6.41 0.85 0.00    727.0
024720       콜마홀딩스  21300.0 6.47 1.19 0.84   3608.0
036460      한국가스공사  32500.0 6.48 0.42 3.64   5766.0
055550        신한지주  39150.0 6.48 0.57 3.76   6579.0
005880        대한해운   1920.0 6.59 0.73 0.00   3488.0
001720        신영증권  53000.0 6.68 0.78 5.03   8185.0
006120     SK디스커버리  23300.0 6.70 0.37 2.27   3942.0
001070        대한방직  19900.0 6.71 0.61 1.48   3024.0
003550          LG  66410.0 6.71 0.69 2.81  10603.0
005320        온타이드   1115.0 6.73 0.43 0.00    188.0
032560       황금에스티   5473.0 6.75 0.42 0.71   1038.0
016710       대성홀딩스   8180.0 6.79 0.32 3.03   1214.0
017390        서울가스  72500.0 6.79 0.38 2.42  10653.0
192400       쿠쿠홀딩스  21300.0 6.81 1.21 2.90  15206.0
015230        대창단조   2820.0 6.87 0.47 3.46   4208.0
267270    HD현대건설기계  26700.0 6.87 0.50 2.70   4585.0
009310      참엔지니어링   1455.0 6.90 1.10 0.00    203.0
079430       현대리바트  11150.0 7.01 0.62 2.14   1933.0
000850        화천기공  38600.0 7.02 0.31 3.09   5753.0
007540          샘표  38550.0 7.09 0.79 0.49   5797.0
322000  HD현대에너지솔루션  18550.0 7.09 0.55 0.00   2327.0
014530        극동유화   3370.0 7.11 0.75 4.65    484.0
002170        삼양통상  61700.0 7.18 0.62 1.24   8445.0
300720       한일시멘트   7750.0 7.18 0.44 4.83  12967.0
016090          대현   2255.0 7.22 0.58 3.28    338.0
004560     현대비앤지스틸   8220.0 7.24 0.37 1.08   1280.0
005430        한국공항  37950.0 7.27 0.44 2.23   6159.0
014710       사조씨푸드   4805.0 7.27 0.42 1.31    733.0
034590      인천도시가스  27650.0 7.32 0.70 4.36   3912.0
163560      동일고무벨트   5719.0 7.35 0.40 1.62    755.0
000070       삼양홀딩스  55800.0 7.44 0.42 2.97   9043.0
008870          금비  61200.0 7.45 0.64 2.69   8486.0
016740          두올   3215.0 7.47 0.67 2.46    435.0
023590        다우기술  17900.0 7.49 0.71 1.83   2551.0
003480    한진중공업홀딩스   2365.0 7.50 0.23 0.00    346.0
092440        기신정기   3730.0 7.52 0.48 3.87    516.0
039570       HDC랩스   9410.0 7.54 0.88 3.15   1473.0
008040       사조동아원    970.0 7.59 0.81 0.00    135.0
025750       한솔홈데코   1045.0 7.62 0.55 1.81    145.0
069260      TKG휴켐스  19500.0 7.65 1.30 5.83   2693.0
161390 한국타이어앤테크놀로지  28700.0 7.70 0.59 1.39   4216.0
002320          한진  31521.0 7.73 0.39 1.67   3873.0
003200        일신방직   6760.0 7.81 0.24 2.78   9206.0
071050      한국금융지주  66500.0 7.82 1.01 2.54   9062.0
001940    KISCO홀딩스  12000.0 7.87 0.31 2.15   1658.0
072710       농심홀딩스  77400.0 7.88 0.41 2.52  10077.0
032830        삼성생명  69500.0 7.89 0.51 3.63   9268.0
090460        비에이치  21200.0 7.98 3.63 0.00   2726.0
120030        조선선재  78200.0 8.01 1.02 1.80  10397.0
139480         이마트 111000.0 8.01 0.43 1.59  15668.0
096770     SK이노베이션 127913.0 8.02 0.76 5.46  18267.0
004890        동일산업  53200.0 8.04 0.39 2.60   7164.0
053210      스카이라이프   8670.0 8.05 0.63 4.01   1085.0
069960       현대백화점  78000.0 8.11 0.49 1.05  10594.0
088790          진도   3435.0 8.22 0.44 4.05    450.0
042700       한미반도체   4350.0 8.24 2.11 3.14    966.0
009440     KC그린홀딩스   4860.0 8.29 0.62 1.67    579.0
041650      상신브레이크   3340.0 8.31 0.45 2.84    423.0
264900       크라운제과   8120.0 8.40 0.90 2.89   1029.0
281820        케이씨텍  20600.0 8.41 1.78 1.17   2741.0
071840      롯데하이마트  26700.0 8.45 0.35 5.56   3620.0
058850        KTcs   2065.0 8.49 0.63 3.91    271.0
044450       KSS해운   6980.0 8.50 0.72 2.96    914.0
005930        삼성전자  56400.0 8.54 1.56 2.57   6461.0
004450        삼화왕관  43900.0 8.56 0.71 2.96   5327.0
033270     유나이티드제약  16500.0 8.67 1.32 1.78   2139.0
001820       삼화콘덴서  54500.0 8.73 4.32 0.57   6023.0
002350       넥센타이어   8110.0 8.83 0.65 1.12   1008.0
213500        한솔제지  14300.0 8.93 0.60 4.20   1602.0
001250       GS글로벌   1985.0 8.94 0.48 1.12    249.0
248170        샘표식품  30950.0 9.00 1.23 0.56   3940.0
210980       SK디앤디  15417.0 9.01 1.59 2.06   3237.0
058430     포스코스틸리온  15400.0 9.02 0.47 2.93   1891.0
069730       DSR제강   4325.0 9.02 0.49 0.86    513.0
006090        사조오양   7040.0 9.04 0.46 0.65    845.0
036530      SNT홀딩스  15050.0 9.11 0.38 2.58   1701.0
042660        한화오션  21943.0 9.12 0.76 0.00   2998.0
214330      금호에이치티   1378.0 9.18 0.74 0.00    632.0
020000          한섬  27400.0 9.25 0.78 1.28   3385.0
003570    SNT다이내믹스   6550.0 9.32 0.36 3.00    716.0
004690         삼천리  78500.0 9.33 0.27 3.58   8995.0
2024-12-04 15:13:03,073 - INFO - 2020-02-29 00:00:00: Selected 178 stocks.
2024-12-04 15:13:03,074 - INFO - 2020-02-29 00:00:00: Portfolio Value = 8,432,451.82
2024-12-04 15:13:03,093 - INFO - Selected Stocks:
Ticker        Name    Close  PER  PBR  DIV      EPS
139130     DGB금융지주   5610.0 2.88 0.25 5.59   2233.0
016610      DB금융투자   3540.0 2.93 0.25 6.50   1312.0
034830      한국토지신탁   1920.0 2.95 0.62 5.47    682.0
012320      경동인베스트  33300.0 3.13 0.23 1.33  11998.0
000860      강남제비스코  17750.0 3.16 0.24 2.93   5942.0
004140          동방   2050.0 3.16 0.46 0.69    461.0
267290      경동도시가스  17450.0 3.17 0.34 4.77   5793.0
009200       무림페이퍼   2305.0 3.18 0.25 1.89    833.0
000880          한화  20050.0 3.27 0.50 3.27   6541.0
017940          E1  40700.0 3.28 0.25 4.51  13507.0
016590       신대양제지   5400.0 3.32 0.72 1.15  19674.0
006220        제주은행   3395.0 3.45 0.25 2.70   1071.0
009580       무림P&P   3585.0 3.45 0.39 6.48   1119.0
123890      한국자산신탁   2490.0 3.48 0.61 6.86    838.0
000370      한화손해보험   2205.0 3.56 0.19 5.64    648.0
010780      아이에스동서  26800.0 3.56 0.82 4.23   7961.0
